OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
VODAFONE OMNITEL,2020 November 02,DA REALIZZARE,UDINE,UD,364250.5,5102802.4
ILIAD ITALIA,2019 December 30,REALIZZATO,PORCIA,PN,315453,5093156.1
ILIAD ITALIA,2020 April 27,REALIZZATO,PORDENONE,PN,318019.2,5092208
VODAFONE OMNITEL,2020 November 02,DA REALIZZARE,UDINE,UD,360484.1,5105062
ILIAD ITALIA,2020 October 22,DA REALIZZARE,UDINE,UD,362626.3,5100170.3
VODAFONE OMNITEL,2020 November 12,DA REALIZZARE,TRIESTE,TS,397814.2,5065147
TELECOM ITALIA MOBILE,2019 October 31,DA REALIZZARE,LIGNANO SABBIADORO,UD,354840.8,5061246.4
VODAFONE OMNITEL,2014 July 28,REALIZZATO,SEDEGLIANO,UD,339972.5,5094656.9
VODAFONE OMNITEL,2019 July 24,REALIZZATO,LIGNANO SABBIADORO,UD,351689.38,5057855.34
ILIAD ITALIA,2020 April 28,REALIZZATO,FIUMICELLO,UD,376188.6,5072834.5
ILIAD ITALIA,2020 November 12,DA REALIZZARE,UDINE,UD,360801.4,5104484.7
ILIAD ITALIA,2020 November 12,DA REALIZZARE,TERZO D'AQUILEIA,UD,370879.4,5072938.3
TELECOM ITALIA MOBILE,2019 October 31,DA REALIZZARE,LIGNANO SABBIADORO,UD,351648.2,5059297.9
TELECOM ITALIA MOBILE,2019 October 18,DA REALIZZARE,ARTEGNA,UD,357828.4,5122567
WIND-TRE,2019 April 23,REALIZZATO,SAN MARTINO AL TAGLIAMENTO,PN,333356.8,5098730.8
WIND-TRE,2019 April 16,REALIZZATO,ZOPPOLA,PN,325863.3,5090655.8
VODAFONE OMNITEL,2020 November 12,DA REALIZZARE,TRIESTE,TS,405937.5,5056992.7
WIND-TRE,2018 November 09,REALIZZATO,CIVIDALE DEL FRIULI,UD,379543.7,5100314
ILIAD ITALIA,2020 November 03,DA REALIZZARE,MANZANO,UD,375583.88,5097656.54
ILIAD ITALIA,2019 November 07,DA REALIZZARE,SGONICO,TS,402141.7,5062994.3
WIND-TRE,2019 March 19,REALIZZATO,RAGOGNA,UD,344157.2,5114899.8
WIND-TRE,2019 February 28,REALIZZATO,AMPEZZO,UD,331008.3,5142545.8
VODAFONE OMNITEL,2020 November 12,DA REALIZZARE,TRIESTE,TS,402899.4,5055131.4
WIND-TRE,2019 April 04,REALIZZATO,FIUME VENETO,PN,322027.9,5087553.2
ILIAD ITALIA,2018 July 16,REALIZZATO,TRIESTE,TS,404191.2,5055351.7
TELECOM ITALIA MOBILE,2019 October 09,REALIZZATO,SAN GIORGIO DELLA RICHINVELDA,PN,335679.8,5101632.7
WIND-TRE,2020 March 19,REALIZZATO,GONARS,UD,362932.2,5084607.2
WIND-TRE,2019 March 11,REALIZZATO,RESIA,UD,365372.6,5138523.3
WIND-TRE,2019 March 19,REALIZZATO,BERTIOLO,UD,348987.2,5089976
WIND-TRE,2019 March 20,REALIZZATO,AMPEZZO,UD,326335.81,5140706.39
WIND-TRE,2018 December 28,REALIZZATO,VENZONE,UD,356249.6,5132346.4
WIND-TRE,2019 April 24,REALIZZATO,CHIUSAFORTE,UD,382913.8,5138521.4
VODAFONE OMNITEL,2020 November 12,DA REALIZZARE,GORIZIA,GO,393274,5088940.2
ILIAD ITALIA,2020 November 09,DA REALIZZARE,PRATA DI PORDENONE,PN,313349.9,5085484.4
ILIAD ITALIA,2020 November 06,DA REALIZZARE,MARTIGNACCO,UD,357133.08,5106432.89
WIND-TRE,2019 March 22,REALIZZATO,ATTIMIS,UD,368801.23,5116127.81
TELECOM ITALIA MOBILE,2019 November 12,DA REALIZZARE,GORIZIA,GO,392064.3,5088981
WIND-TRE,2018 December 28,REALIZZATO,TOLMEZZO,UD,347385.6,5139984.9
ILIAD ITALIA,2019 November 07,DA REALIZZARE,UDINE,UD,363576.1,5102384.4
ILIAD ITALIA,2020 March 24,DA REALIZZARE,UDINE,UD,364593.5,5100024.8
WIND-TRE,2018 November 20,REALIZZATO,POCENIA,UD,353076.3,5076868.2
WIND-TRE,2019 February 28,REALIZZATO,RIVIGNANO,UD,348891.2,5082371.3
ALTRO GESTORE,2020 March 24,DA REALIZZARE,SESTO AL REGHENA,PN,334285.4,5081939
ILIAD ITALIA,2020 March 23,REALIZZATO,CERVIGNANO DEL FRIULI,UD,371976.7,5075493.6
ILIAD ITALIA,2020 March 24,DA REALIZZARE,ZOPPOLA,PN,329506.3,5092538.2
WIND-TRE,2019 April 23,REALIZZATO,VARMO,UD,344456.4,5083292.7
TELECOM ITALIA MOBILE,2019 September 25,REALIZZATO,ARBA,PN,329581.9,5113343.5
WIND-TRE,2018 March 08,REALIZZATO,SAN DANIELE DEL FRIULI,UD,346911.6,5111982.9
WIND-TRE,2019 April 08,REALIZZATO,BUIA,UD,355602.8,5120749.9
WIND-TRE,2019 March 27,REALIZZATO,CHIUSAFORTE,UD,370017.6,5140553.2
WIND-TRE,2017 June 21,SOSTITUITO,MARTIGNACCO,UD,357138,5106432.3
WIND-TRE,2019 April 08,REALIZZATO,CODROIPO,UD,344181.2,5092419.3
WIND-TRE,2019 May 02,REALIZZATO,PONTEBBA,UD,370165.1,5151650.1
ILIAD ITALIA,2019 November 07,DA REALIZZARE,UDINE,UD,361622.7,5101218.7
WIND-TRE,2019 April 23,REALIZZATO,MAGNANO IN RIVIERA,UD,359227.1,5120655.5
TELECOM ITALIA MOBILE,2019 July 24,REALIZZATO,LIGNANO SABBIADORO,UD,351689.38,5057855.34
WIND-TRE,2018 November 06,REALIZZATO,SAN DANIELE DEL FRIULI,UD,346006.4,5114682
TELECOM ITALIA MOBILE,2019 November 05,DA REALIZZARE,SPILIMBERGO,PN,335877.5,5110965.2
TELECOM ITALIA MOBILE,2019 March 26,REALIZZATO,VALVASONE,PN,334321.8,5096478.8
WIND-TRE,2019 April 19,REALIZZATO,MAIANO,UD,349868.9,5116066.1
WIND-TRE,2019 March 22,REALIZZATO,CODROIPO,UD,344287.1,5092783.1
TELECOM ITALIA MOBILE,2019 October 24,REALIZZATO,CORDENONS,PN,322044.9,5092526.1
ILIAD ITALIA,2019 November 12,DA REALIZZARE,UDINE,UD,363892.7,5103460.1
WIND-TRE,2019 April 24,REALIZZATO,PREMARIACCO,UD,375256.8,5101566.1
WIND-TRE,2019 August 21,REALIZZATO,BUIA,UD,354993.4,5119770.2
WIND-TRE,2019 February 28,REALIZZATO,RESIUTTA,UD,363333.7,5138972.3
WIND-TRE,2019 March 19,REALIZZATO,MALBORGHETTO VALBRUNA,UD,377631,5150613.7
WIND-TRE,2018 December 05,REALIZZATO,ARTA TERME,UD,353889.9,5149370.2
WIND-TRE,2019 January 11,REALIZZATO,CODROIPO,UD,343715.9,5090915.7
ILIAD ITALIA,2018 August 28,REALIZZATO,TRIESTE,TS,404783.2,5059791.2
WIND-TRE,2019 September 05,REALIZZATO,PORDENONE,PN,320880.9,5091384.4
WIND-TRE,2019 March 20,REALIZZATO,TOLMEZZO,UD,347472,5141046.3
WIND-TRE,2018 November 15,REALIZZATO,DOGNA,UD,368999.8,5146883.1
WIND-TRE,2019 March 04,REALIZZATO,TARVISIO,UD,390254.4,5141716.9
VODAFONE OMNITEL,2018 January 12,REALIZZATO,PALUZZA,UD,347479.91,5160652.64
TELECOM ITALIA MOBILE,2019 November 05,DA REALIZZARE,PAVIA DI UDINE,UD,365915.1,5095207.5
WIND-TRE,2019 October 24,DA REALIZZARE,CERVIGNANO DEL FRIULI,UD,371976.7,5075493.6
WIND-TRE,2019 June 20,REALIZZATO,MANIAGO,PN,323356.4,5114913.9
WIND-TRE,2019 June 26,REALIZZATO,FONTANAFREDDA,PN,312437.3,5094524.6
WIND-TRE,2019 March 11,REALIZZATO,MOGGIO UDINESE,UD,360875.7,5140682.3
WIND-TRE,2019 March 15,REALIZZATO,DIGNANO,UD,342385.5,5108792.4
TELECOM ITALIA MOBILE,2019 November 05,DA REALIZZARE,CAMPOFORMIDO,UD,361437.8,5099111
WIND-TRE,2019 April 09,REALIZZATO,COSEANO,UD,346218.6,5106962.5
WIND-TRE,2018 November 20,REALIZZATO,TORREANO,UD,378383.46,5108896.93
WIND-TRE,2019 March 20,REALIZZATO,TOLMEZZO,UD,348425.7,5139926.7
WIND-TRE,2019 April 17,REALIZZATO,SAN DANIELE DEL FRIULI,UD,345302.3,5112634.8
WIND-TRE,2019 May 07,REALIZZATO,POCENIA,UD,352032,5077848
ILIAD ITALIA,2018 June 26,REALIZZATO,MUGGIA,TS,406613.3,5049239.9
ILIAD ITALIA,2019 November 12,DA REALIZZARE,GORIZIA,GO,392530.1,5087864.5
WIND-TRE,2019 April 23,REALIZZATO,MERETO DI TOMBA,UD,349614.8,5101652
TELECOM ITALIA MOBILE,2019 November 12,DA REALIZZARE,SPILIMBERGO,PN,337383,5109275.2
ILIAD ITALIA,2020 March 24,DA REALIZZARE,PALMANOVA,UD,370285.6,5084446.4
WIND-TRE,2020 March 19,DA REALIZZARE,GONARS,UD,365206.5,5084766.6
WIND-TRE,2019 May 03,REALIZZATO,CAVASSO NUOVO,PN,328262,5117622.5
WIND-TRE,2019 August 22,REALIZZATO,MONTEREALE VALCELLINA,PN,319696.7,5113269.1
ILIAD ITALIA,2020 March 19,DA REALIZZARE,GONARS,UD,365206.5,5084766.6
ILIAD ITALIA,2019 November 22,DA REALIZZARE,TRIESTE,TS,406549,5061525.1
WIND-TRE,2020 March 31,DA REALIZZARE,FIUME VENETO,PN,323868.8,5085447.3
ILIAD ITALIA,2019 November 22,DA REALIZZARE,UDINE,UD,364848.11,5101388.31
WIND-TRE,2019 July 31,REALIZZATO,MONFALCONE,GO,388475.7,5072600.2
WIND-TRE,2019 April 08,REALIZZATO,MARIANO DEL FRIULI,GO,380326.6,5085920.4
TELECOM ITALIA MOBILE,2019 June 14,REALIZZATO,GORIZIA,GO,391130.4,5088024.2
WIND-TRE,2020 April 02,REALIZZATO,RONCHIS,UD,346143.3,5074837.2
ILIAD ITALIA,2019 November 25,DA REALIZZARE,TRIESTE,TS,408042.8,5058717.7
WIND-TRE,2019 November 18,DA REALIZZARE,SACILE,PN,306438,5089647.3
TELECOM ITALIA MOBILE,2019 May 02,REALIZZATO,UDINE,UD,363951.9,5101982.1
WIND-TRE,2019 November 29,DA REALIZZARE,PORDENONE,PN,319599.6,5092811.8
