OPERATORE,DATA,STATO ATTIVAZIONE,COMUNE,PROVINCIA,ETRS89EST,ETRS89NORD
WIND-TRE,2020 July 10,DA REALIZZARE,TRIESTE,TS,404816.4,5056383.3
VODAFONE OMNITEL,2020 July 03,DA REALIZZARE,TRIESTE,TS,406557.8,5061508
WIND-TRE,2018 March 26,DA REALIZZARE,SAN GIOVANNI AL NATISONE,UD,375254.3,5091382.4
VODAFONE OMNITEL,2020 July 03,DA REALIZZARE,TRIESTE,TS,405136,5053858.1
ILIAD ITALIA,2020 July 14,DA REALIZZARE,UDINE,UD,361310.2,5100734
WIND-TRE,2020 April 28,REALIZZATO,UDINE,UD,364327.9,5103216.2
VODAFONE OMNITEL,2020 July 10,DA REALIZZARE,TRIESTE,TS,407266.3,5053352.4
VODAFONE OMNITEL,2020 July 10,DA REALIZZARE,TRIESTE,TS,405427.8,5055591.7
WIND-TRE,2020 July 14,DA REALIZZARE,PORDENONE,PN,318033.9,5092779.9
ILIAD ITALIA,2020 July 14,DA REALIZZARE,UDINE,UD,365772.1,5105697.3
WIND-TRE,2020 June 15,DA REALIZZARE,CAVAZZO CARNICO,UD,351526.3,5134753.7
ILIAD ITALIA,2020 July 14,DA REALIZZARE,LIGNANO SABBIADORO,UD,352029.2,5058068.5
ILIAD ITALIA,2020 July 15,DA REALIZZARE,TRIESTE,TS,405392,5055746.5
ILIAD ITALIA,2020 March 24,REALIZZATO,PRATA DI PORDENONE,PN,311230.1,5082641.2
WIND-TRE,2020 July 22,DA REALIZZARE,UDINE,UD,363916.7,5104868.7
ILIAD ITALIA,2019 June 25,REALIZZATO,PORDENONE,PN,317955.4,5093564
ILIAD ITALIA,2020 July 17,DA REALIZZARE,TRIESTE,TS,406000.2,5052370.8
ILIAD ITALIA,2020 July 22,DA REALIZZARE,MEDEA,GO,377403.5,5086065.9
WIND-TRE,2019 September 30,REALIZZATO,UDINE,UD,362683.1,5100768.1
WIND-TRE,2019 October 31,REALIZZATO,RONCHI DEI LEGIONARI,GO,382321,5075328.9
ILIAD ITALIA,2020 January 17,REALIZZATO,GRADISCA D'ISONZO,GO,381474.6,5082264.4
TELECOM ITALIA MOBILE,2020 July 22,DA REALIZZARE,LIGNANO SABBIADORO,UD,355613,5061262.7
ILIAD ITALIA,2019 July 23,REALIZZATO,MONFALCONE,GO,386898.8,5073552.2
ILIAD ITALIA,2020 July 22,DA REALIZZARE,PAVIA DI UDINE,UD,363859.1,5092899.6
TELECOM ITALIA MOBILE,2020 July 24,DA REALIZZARE,LUSEVERA,UD,370833.9,5129305
ILIAD ITALIA,2020 July 28,DA REALIZZARE,GEMONA DEL FRIULI,UD,356677.3,5126767.3
WIND-TRE,2019 December 12,REALIZZATO,MARTIGNACCO,UD,356305.4,5105656.8
WIND-TRE,2020 April 27,REALIZZATO,PORPETTO,UD,360662,5080538.8
ILIAD ITALIA,2020 August 12,DA REALIZZARE,DOBERDO' DEL LAGO,GO,389524.4,5075103.2
VODAFONE OMNITEL,2020 August 12,DA REALIZZARE,TRIESTE,TS,407955.4,5054020.6
WIND-TRE,2019 May 15,REALIZZATO,LIGNANO SABBIADORO,UD,354983.7,5060835.6
WIND-TRE,2019 June 05,REALIZZATO,LIGNANO SABBIADORO,UD,352029.2,5058068.5
TELECOM ITALIA MOBILE,2020 August 12,DA REALIZZARE,DOBERDO' DEL LAGO,GO,388457.3,5079223.7
ILIAD ITALIA,2020 August 12,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,381000.4,5072359.2
WIND-TRE,2019 July 23,REALIZZATO,LIGNANO SABBIADORO,UD,353729.9,5060136
ILIAD ITALIA,2020 August 05,DA REALIZZARE,CORNO DI ROSAZZO,UD,379100.5,5094155.2
WIND-TRE,2020 August 05,DA REALIZZARE,TRASAGHIS,UD,350735.4,5130803.5
ILIAD ITALIA,2020 August 05,DA REALIZZARE,CORNO DI ROSAZZO,UD,380151.3,5094686.5
VODAFONE OMNITEL,2020 August 12,DA REALIZZARE,TRIESTE,TS,404219.8,5054985.8
ILIAD ITALIA,2020 August 12,DA REALIZZARE,MANIAGO,PN,323836,5114525.6
VODAFONE OMNITEL,2018 March 28,REALIZZATO,SACILE,PN,306375.4,5092515.1
ILIAD ITALIA,2020 August 05,DA REALIZZARE,SAN GIORGIO DI NOGARO,UD,359805.9,5076792.2
ILIAD ITALIA,2020 August 05,DA REALIZZARE,MORTEGLIANO,UD,358977.2,5090473.7
WIND-TRE,,REALIZZATO,BAGNARIA ARSA,UD,367530.9,5082960.7
ILIAD ITALIA,2020 August 05,DA REALIZZARE,CAMPOFORMIDO,UD,357283.3,5096911.5
VODAFONE OMNITEL,2020 August 24,DA REALIZZARE,UDINE,UD,364312.2,5104306.4
WIND-TRE,2020 August 24,DA REALIZZARE,AZZANO DECIMO,PN,321764.3,5084157.3
ILIAD ITALIA,2020 August 21,DA REALIZZARE,BUTTRIO,UD,371280.7,5097154.3
WIND-TRE,2019 December 09,REALIZZATO,UDINE,UD,364858.9,5103656.2
ILIAD ITALIA,2020 August 05,DA REALIZZARE,TALMASSONS,UD,353838.7,5088586.5
WIND-TRE,2017 November 16,REALIZZATO,AVIANO,PN,313180.1,5104871.9
WIND-TRE,,REALIZZATO,PRADAMANO,UD,368301,5099442.3
ILIAD ITALIA,2020 July 22,DA REALIZZARE,CASARSA DELLA DELIZIA,PN,332954.8,5091042
ILIAD ITALIA,2020 August 05,DA REALIZZARE,BAGNARIA ARSA,UD,367530.9,5082960.7
ILIAD ITALIA,2020 January 29,REALIZZATO,AZZANO DECIMO,PN,320844.8,5084522
VODAFONE OMNITEL,2020 August 24,DA REALIZZARE,UDINE,UD,364625.1,5103475.3
ILIAD ITALIA,2020 August 18,DA REALIZZARE,UDINE,UD,364573,5102089
ILIAD ITALIA,2020 August 12,DA REALIZZARE,RONCHIS,UD,344383.8,5075682.8
VODAFONE OMNITEL,2020 June 16,REALIZZATO,CHIONS,PN,326841.8,5081776.3
ILIAD ITALIA,2020 August 05,DA REALIZZARE,TAVAGNACCO,UD,362959.7,5106886.7
WIND-TRE,2019 July 02,REALIZZATO,SESTO AL REGHENA,PN,334245.7,5081793.8
ILIAD ITALIA,2020 August 18,DA REALIZZARE,VENZONE,UD,356249.6,5132346.4
ILIAD ITALIA,2020 August 14,DA REALIZZARE,TRIESTE,TS,406007.3,5054893.7
ILIAD ITALIA,2020 July 24,DA REALIZZARE,SESTO AL REGHENA,PN,329953.1,5080128.7
ILIAD ITALIA,2020 March 10,REALIZZATO,VILLESSE,GO,377944.5,5079385.8
WIND-TRE,2020 January 27,REALIZZATO,SAN DORLIGO DELLA VALLE,TS,410589.1,5051230.4
ILIAD ITALIA,2020 June 15,REALIZZATO,FARRA D'ISONZO,GO,384384.6,5084462.2
VODAFONE OMNITEL,2020 August 27,DA REALIZZARE,UDINE,UD,362265.9,5102623.7
VODAFONE OMNITEL,2020 September 01,DA REALIZZARE,PORDENONE,PN,316354.5,5093139.8
VODAFONE OMNITEL,2020 August 27,DA REALIZZARE,PORDENONE,PN,317426.4,5095854.6
VODAFONE OMNITEL,2020 August 14,DA REALIZZARE,TRIESTE,TS,398175.2,5065483.1
ILIAD ITALIA,2020 March 06,REALIZZATO,MOSSA,GO,386943.6,5087257.1
VODAFONE OMNITEL,2020 August 14,DA REALIZZARE,TRIESTE,TS,408573,5054676
ILIAD ITALIA,2020 July 24,DA REALIZZARE,PORDENONE,PN,317132.5,5093149.9
ILIAD ITALIA,2020 August 27,DA REALIZZARE,SAN GIOVANNI AL NATISONE,UD,376406.3,5092274.4
ILIAD ITALIA,2020 January 23,REALIZZATO,GRADISCA D'ISONZO,GO,383026.6,5083711.3
ILIAD ITALIA,2018 December 18,REALIZZATO,TRIESTE,TS,411568.9,5054528
ILIAD ITALIA,2020 March 23,REALIZZATO,GORIZIA,GO,388973.6,5087546
WIND-TRE,2020 August 14,DA REALIZZARE,TRIESTE,TS,405331.5,5055325.3
WIND-TRE,2020 August 27,DA REALIZZARE,SPILIMBERGO,PN,337852.59,5107592.39
ILIAD ITALIA,2020 August 28,DA REALIZZARE,AQUILEIA,UD,373166.5,5069123.7
WIND-TRE,2020 March 23,REALIZZATO,CHIUSAFORTE,UD,374760.3,5140299.69
VODAFONE OMNITEL,2020 June 19,REALIZZATO,MONFALCONE,GO,386087.3,5072077.3
ILIAD ITALIA,2019 May 31,REALIZZATO,TRIESTE,TS,408817.8,5056933.9
WIND-TRE,2020 May 08,REALIZZATO,SAN GIORGIO DI NOGARO,UD,360762,5076523.9
WIND-TRE,2020 April 03,REALIZZATO,TARCENTO,UD,361376.1,5117003.6
WIND-TRE,2020 March 31,REALIZZATO,PALMANOVA,UD,369165.9,5085018.4
WIND-TRE,2019 December 12,REALIZZATO,CANEVA,PN,302201.2,5093053.2
WIND-TRE,2020 March 31,REALIZZATO,UDINE,UD,362553.8,5103318.9
WIND-TRE,2019 April 24,REALIZZATO,SAN DANIELE DEL FRIULI,UD,343816.11,5112095.26
TELECOM ITALIA MOBILE,2020 August 21,DA REALIZZARE,PREMARIACCO,UD,375679.9,5098807.2
ILIAD ITALIA,2020 July 28,DA REALIZZARE,MUZZANA DEL TURGNANO,UD,355026.11,5075478.4
ILIAD ITALIA,2020 September 14,DA REALIZZARE,AZZANO DECIMO,PN,322780.8,5082892.6
VODAFONE OMNITEL,2020 September 14,DA REALIZZARE,TRIESTE,TS,400396.9,5061806.6
ILIAD ITALIA,2020 September 14,DA REALIZZARE,GRADO,GO,380017.4,5064020.5
WIND-TRE,2019 August 02,REALIZZATO,CASTELNOVO DEL FRIULI,PN,338466.9,5118273.1
TELECOM ITALIA MOBILE,2019 December 03,REALIZZATO,TRIESTE,TS,403930.3,5055830.1
ILIAD ITALIA,2020 August 24,DA REALIZZARE,SACILE,PN,305698,5092040.4
ILIAD ITALIA,2020 July 24,DA REALIZZARE,GONARS,UD,362932.2,5084607.2
ILIAD ITALIA,2020 August 24,DA REALIZZARE,PASIANO DI PORDENONE,PN,316023.7,5079663.7
WIND-TRE,2019 March 19,REALIZZATO,MUGGIA,TS,403873.7,5050302.3
WIND-TRE,2020 January 13,REALIZZATO,TRIESTE,TS,403898.9,5055800.6
ILIAD ITALIA,2020 September 18,DA REALIZZARE,PRADAMANO,UD,367476,5098550.8
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,TRIESTE,TS,407608.4,5054493.1
WIND-TRE,2019 June 21,REALIZZATO,LIGNANO SABBIADORO,UD,354216.6,5060280.6
WIND-TRE,2020 February 18,REALIZZATO,SAN DORLIGO DELLA VALLE,TS,414186.9,5053049.9
ILIAD ITALIA,2020 October 07,DA REALIZZARE,ROMANS D'ISONZO,GO,378873.4,5082299.7
WIND-TRE,2019 May 15,REALIZZATO,TRIESTE,TS,407494.7,5051465.3
ILIAD ITALIA,2020 September 23,DA REALIZZARE,SAN VITO AL TAGLIAMENTO,PN,335292.8,5088293.4
WIND-TRE,2019 April 16,REALIZZATO,TRIESTE,TS,406729.9,5052614.1
WIND-TRE,2020 September 22,DA REALIZZARE,TRIESTE,TS,405222.4,5056463.6
VODAFONE OMNITEL,2020 September 11,DA REALIZZARE,UDINE,UD,362586.6,5104625.8
ILIAD ITALIA,2020 September 22,DA REALIZZARE,TALMASSONS,UD,356847.2,5087762.7
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,TRIESTE,TS,403759.1,5055104.7
WIND-TRE,2019 May 15,REALIZZATO,MUGGIA,TS,404253.8,5050457
ILIAD ITALIA,2020 September 18,DA REALIZZARE,FIUME VENETO,PN,323868.8,5085447.3
ILIAD ITALIA,2020 September 23,DA REALIZZARE,FAGAGNA,UD,352103.4,5107146.7
WIND-TRE,2020 September 22,DA REALIZZARE,TRIESTE,TS,404212.5,5056339.2
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,TRIESTE,TS,406439.1,5058481
VODAFONE OMNITEL,2020 October 02,DA REALIZZARE,TRIESTE,TS,403128.8,5059601.7
TELECOM ITALIA MOBILE,2019 October 17,REALIZZATO,SAN DANIELE DEL FRIULI,UD,345426.8,5112777.3
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,UDINE,UD,361134.2,5103879.8
ILIAD ITALIA,2020 September 22,DA REALIZZARE,UDINE,UD,363100.7,5103232.57
ILIAD ITALIA,2020 September 29,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,379145.1,5074711.3
ILIAD ITALIA,2020 October 02,DA REALIZZARE,UDINE,UD,364355.1,5102419.2
WIND-TRE,2019 March 05,REALIZZATO,TRIESTE,TS,407853.5,5052269.9
WIND-TRE,2020 September 30,DA REALIZZARE,MANIAGO,PN,324450.9,5113688.5
WIND-TRE,2019 May 29,REALIZZATO,MUGGIA,TS,402314.5,5050180.1
ALTRO GESTORE,2020 October 02,DA REALIZZARE,AMPEZZO,UD,328053.97,5142036.55
WIND-TRE,2020 October 13,DA REALIZZARE,TRIESTE,TS,405136,5053858.1
WIND-TRE,2019 December 03,REALIZZATO,TRIESTE,TS,403875.3,5058114
WIND-TRE,2019 December 09,REALIZZATO,TRIESTE,TS,405029.6,5054971.9
VODAFONE OMNITEL,2020 September 01,DA REALIZZARE,UDINE,UD,363563.8,5105753.6
WIND-TRE,2019 December 05,REALIZZATO,TRIESTE,TS,404870.8,5054979
ILIAD ITALIA,2020 September 28,DA REALIZZARE,GORIZIA,GO,391097.2,5088254.8
WIND-TRE,2019 December 09,REALIZZATO,TRIESTE,TS,404247.1,5057285.6
ILIAD ITALIA,2020 September 22,DA REALIZZARE,GORIZIA,GO,392205.6,5089122.2
WIND-TRE,2020 September 30,DA REALIZZARE,GORIZIA,GO,391364.7,5088346.9
WIND-TRE,2019 May 07,REALIZZATO,TRIESTE,TS,405380.9,5052704.2
TELECOM ITALIA MOBILE,2020 May 07,REALIZZATO,CAMPOLONGO AL TORRE,UD,374543.7,5080811.6
TELECOM ITALIA MOBILE,2020 September 22,DA REALIZZARE,TRIESTE,TS,406439.1,5058481
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,TRIESTE,TS,406000.2,5052370.8
WIND-TRE,2020 March 10,REALIZZATO,TALMASSONS,UD,353115.1,5087486.6
WIND-TRE,2019 October 24,REALIZZATO,TRIESTE,TS,404734.4,5055931.6
ILIAD ITALIA,2020 October 07,DA REALIZZARE,UDINE,UD,363436.3,5105100.2
WIND-TRE,2020 September 18,DA REALIZZARE,CORDENONS,PN,322144.79,5092437.62
ILIAD ITALIA,2020 September 23,DA REALIZZARE,SAN VITO AL TAGLIAMENTO,PN,335599.7,5090190.9
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,TRIESTE,TS,406895.1,5052041.4
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,TRIESTE,TS,407874.1,5051424.9
TELECOM ITALIA MOBILE,2020 September 22,DA REALIZZARE,TRIESTE,TS,406895.1,5052041.4
WIND-TRE,2020 May 26,REALIZZATO,UDINE,UD,365772.1,5105697.3
VODAFONE OMNITEL,2020 September 28,DA REALIZZARE,PORDENONE,PN,317908.9,5089622.2
TELECOM ITALIA MOBILE,2020 October 02,DA REALIZZARE,TRIESTE,TS,403128.8,5059601.7
WIND-TRE,2020 October 13,DA REALIZZARE,TRIESTE,TS,405429.4,5055588.6
WIND-TRE,2019 March 19,REALIZZATO,SAN DORLIGO DELLA VALLE,TS,408662.9,5051276.1
ILIAD ITALIA,2020 September 18,DA REALIZZARE,PRADAMANO,UD,368346.5,5099376
WIND-TRE,2019 December 03,REALIZZATO,TRIESTE,TS,404384.8,5056899.2
ILIAD ITALIA,2020 October 07,DA REALIZZARE,MARIANO DEL FRIULI,GO,380326.6,5085920.4
VODAFONE OMNITEL,2020 September 22,DA REALIZZARE,TRIESTE,TS,406518.7,5052423.1
ILIAD ITALIA,2020 September 28,DA REALIZZARE,ROMANS D'ISONZO,GO,377033.7,5084369.5
VODAFONE OMNITEL,2020 September 28,DA REALIZZARE,PORDENONE,PN,317270.9,5088565.2
TELECOM ITALIA MOBILE,2020 September 22,DA REALIZZARE,TRIESTE,TS,406518.7,5052423.1
WIND-TRE,2020 September 22,DA REALIZZARE,TRIESTE,TS,405978.6,5052436.2
ILIAD ITALIA,2020 September 30,DA REALIZZARE,MONRUPINO,TS,409012,5061399.1
VODAFONE OMNITEL,2020 October 16,DA REALIZZARE,TRIESTE,TS,408424,5053727
WIND-TRE,2020 October 16,DA REALIZZARE,DIGNANO,UD,341208.3,5105777.6
VODAFONE OMNITEL,2020 October 21,DA REALIZZARE,TRIESTE,TS,406557,5054183.1
ILIAD ITALIA,2020 October 20,DA REALIZZARE,VILLESSE,GO,378607.24,5080032
TELECOM ITALIA MOBILE,2020 October 16,DA REALIZZARE,TRIESTE,TS,408424,5053727
VODAFONE OMNITEL,2020 October 16,DA REALIZZARE,TRIESTE,TS,408156,5054286
ILIAD ITALIA,2020 October 15,DA REALIZZARE,BRUGNERA,PN,310209.3,5085197.2
ILIAD ITALIA,2020 October 22,DA REALIZZARE,BERTIOLO,UD,348878.6,5088815.5
VODAFONE OMNITEL,2020 October 23,DA REALIZZARE,TRIESTE,TS,403465.9,5054895.7
ALTRO GESTORE,2020 October 23,DA REALIZZARE,BRUGNERA,PN,308595.9,5085801.8
VODAFONE OMNITEL,2020 October 21,DA REALIZZARE,TRIESTE,TS,406321.6,5052438.1
VODAFONE OMNITEL,2020 October 26,DA REALIZZARE,GORIZIA,GO,392213.9,5087681.7
TELECOM ITALIA MOBILE,2020 October 23,DA REALIZZARE,TRIESTE,TS,403465.9,5054895.7
WIND-TRE,2020 October 28,DA REALIZZARE,SAN CANZIAN D'ISONZO,GO,381253.8,5075302.5
VODAFONE OMNITEL,2020 October 21,DA REALIZZARE,TRIESTE,TS,406872,5051772.2
WIND-TRE,2020 October 28,DA REALIZZARE,TRIESTE,TS,405774.2,5053525.3
VODAFONE OMNITEL,2020 November 02,DA REALIZZARE,BUIA,UD,352306.2,5121646.9
VODAFONE OMNITEL,2020 November 02,DA REALIZZARE,TRIESTE,TS,401761.8,5061853.1
TELECOM ITALIA MOBILE,2020 October 16,DA REALIZZARE,TRIESTE,TS,403964.4,5058038.5
VODAFONE OMNITEL,2020 October 21,DA REALIZZARE,UDINE,UD,363341.5,5102985.3
ILIAD ITALIA,2020 October 26,DA REALIZZARE,PAVIA DI UDINE,UD,367611.49,5094303.54
ILIAD ITALIA,2020 October 28,DA REALIZZARE,LIGNANO SABBIADORO,UD,349392.6,5058147.9
VODAFONE OMNITEL,2020 October 16,DA REALIZZARE,TRIESTE,TS,403964.4,5058038.5
VODAFONE OMNITEL,2020 October 30,DA REALIZZARE,TRIESTE,TS,406878.2,5054590.2
ILIAD ITALIA,2020 October 26,DA REALIZZARE,BASILIANO,UD,354857.7,5097058.8
VODAFONE OMNITEL,2020 October 15,DA REALIZZARE,PORDENONE,PN,317266.8,5094055.7
WIND-TRE,2020 October 08,DA REALIZZARE,ROVEREDO IN PIANO,PN,315240,5095274.1
ILIAD ITALIA,2020 November 03,DA REALIZZARE,GORIZIA,GO,392881.49,5087073.48
ILIAD ITALIA,2020 October 28,DA REALIZZARE,LIGNANO SABBIADORO,UD,351732.8,5057472.9
ILIAD ITALIA,2020 October 28,DA REALIZZARE,CERVIGNANO DEL FRIULI,UD,370255.9,5075064.8
ILIAD ITALIA,2019 December 23,REALIZZATO,GRADO,GO,374404.5,5059704.6
VODAFONE OMNITEL,2020 November 02,DA REALIZZARE,TRIESTE,TS,404222.9,5055311.1
ALTRO GESTORE,2020 October 30,DA REALIZZARE,PASIAN DI PRATO,UD,360071.77,5101197.48
VODAFONE OMNITEL,2020 October 22,DA REALIZZARE,UDINE,UD,362430.3,5100428.3
ILIAD ITALIA,2020 October 28,DA REALIZZARE,MANIAGO,PN,321911.29,5113954.2
TELECOM ITALIA MOBILE,2020 October 30,DA REALIZZARE,TRIESTE,TS,406878.2,5054590.2
ILIAD ITALIA,2020 November 02,DA REALIZZARE,GRADO,GO,377454.4,5059827.5
VODAFONE OMNITEL,2020 October 15,DA REALIZZARE,PORDENONE,PN,317813.9,5091623.6
ILIAD ITALIA,2020 October 23,DA REALIZZARE,UDINE,UD,366032.5,5101865.9
ILIAD ITALIA,2020 October 28,DA REALIZZARE,MORTEGLIANO,UD,362096.1,5090157.1
VODAFONE OMNITEL,2020 October 22,DA REALIZZARE,PORDENONE,PN,319196.8,5093668.2
ILIAD ITALIA,2020 November 03,DA REALIZZARE,RONCHI DEI LEGIONARI,GO,383054.1,5076652.5
ILIAD ITALIA,2020 October 28,DA REALIZZARE,REANA DEL ROIALE,UD,362937.4,5111090
WIND,2006 November 10,SOSTITUITO,SAN VITO AL TORRE,UD,374732.7,5084244.6
WIND-TRE,2012 July 27,DA REALIZZARE,CASARSA DELLA DELIZIA,PN,332707.7,5091958.7
TELECOM ITALIA MOBILE,2012 September 27,REALIZZATO,UDINE,UD,361858.8,5104782.2
WIND-TRE,2013 August 27,DA REALIZZARE,CHIUSAFORTE,UD,370576.7,5140679.9
TELECOM ITALIA MOBILE,2017 September 20,REALIZZATO,FORGARIA NEL FRIULI,UD,345255.5,5122822.6
WIND-TRE,2013 August 27,DA REALIZZARE,DOGNA,UD,369748,5146601.1
WIND-TRE,2013 August 27,DA REALIZZARE,PONTEBBA,UD,371219,5151817.3
WIND-TRE,2013 August 27,DA REALIZZARE,PONTEBBA,UD,369274.9,5148191.5
WIND-TRE,2013 August 27,DA REALIZZARE,DOGNA,UD,369790.3,5146057.1
WIND-TRE,2013 August 27,DA REALIZZARE,DOGNA,UD,370146.4,5144479
WIND-TRE,2013 August 27,DA REALIZZARE,PONTEBBA,UD,369699.9,5150133.5
VODAFONE OMNITEL,2014 July 29,REALIZZATO,MONRUPINO,TS,409167.1,5061350
WIND-TRE,2013 August 27,DA REALIZZARE,CHIUSAFORTE,UD,370891.5,5141985
WIND-TRE,2013 August 27,DA REALIZZARE,RESIUTTA,UD,361645.9,5139662.4
WIND-TRE,2013 August 27,DA REALIZZARE,AMARO,UD,357929.6,5139226.2
WIND-TRE,2013 August 27,DA REALIZZARE,MOGGIO UDINESE,UD,360177.9,5139721.3
TELECOM ITALIA MOBILE,2013 October 21,REALIZZATO,PORDENONE,PN,318217.9,5088899.2
TELECOM ITALIA MOBILE,2013 November 12,REALIZZATO,BAGNARIA ARSA,UD,368738.9,5083187.7
VODAFONE OMNITEL,2014 March 25,REALIZZATO,BUTTRIO,UD,370615.9,5097210.9
VODAFONE OMNITEL,2014 March 06,REALIZZATO,VITO D'ASIO,PN,340986.8,5121359
TELECOM ITALIA MOBILE,2014 February 27,REALIZZATO,BORDANO,UD,354494.2,5130478
TELECOM ITALIA MOBILE,2014 March 21,REALIZZATO,PORDENONE,PN,319229,5092428
VODAFONE OMNITEL,2014 March 28,REALIZZATO,GORIZIA,GO,392732.7,5089844.9
TELECOM ITALIA MOBILE,2014 March 24,REALIZZATO,PORDENONE,PN,317731.6,5092013.6
TELECOM ITALIA MOBILE,2014 March 24,REALIZZATO,PORDENONE,PN,318537.4,5093420.1
TELECOM ITALIA MOBILE,2014 April 02,REALIZZATO,GORIZIA,GO,393825.4,5090055.1
TELECOM ITALIA MOBILE,2014 April 03,REALIZZATO,TOLMEZZO,UD,348276.2,5140049.4
VODAFONE OMNITEL,2014 April 07,REALIZZATO,DUINO AURISINA,TS,395874.3,5066998.1
TELECOM ITALIA MOBILE,2018 November 05,REALIZZATO,VERZEGNIS,UD,344336.9,5138857.2
WIND-TRE,2015 August 04,DA REALIZZARE,TRIESTE,TS,401433.2,5061543.7
TELECOM ITALIA MOBILE,2015 July 14,REALIZZATO,MARANO LAGUNARE,UD,357011.7,5069150.8
VODAFONE OMNITEL,2014 August 13,REALIZZATO,FORNI AVOLTRI,UD,332081.4,5160792.5
TELECOM ITALIA MOBILE,2014 September 22,REALIZZATO,SAN GIORGIO DI NOGARO,UD,358437.4,5076699.1
VODAFONE OMNITEL,2014 December 31,REALIZZATO,SAN DORLIGO DELLA VALLE,TS,414283.9,5052865.9
TELECOM ITALIA MOBILE,2015 June 21,REALIZZATO,MONFALCONE,GO,386175.8,5073747.8
VODAFONE OMNITEL,2015 September 11,REALIZZATO,DUINO AURISINA,TS,393978.3,5069819.2
VODAFONE OMNITEL,2015 October 23,DA REALIZZARE,MUGGIA,TS,402337.8,5051275.3
VODAFONE OMNITEL,2018 September 17,DA REALIZZARE,VIVARO,PN,328136.8,5105581.9
WIND-TRE,2019 January 24,REALIZZATO,GORIZIA,GO,388973.6,5087546
WIND-TRE,2019 January 11,DA REALIZZARE,TOLMEZZO,UD,348730,5141682.5
TELECOM ITALIA MOBILE,2017 August 07,DA REALIZZARE,UDINE,UD,362686.3,5102671.6
VODAFONE OMNITEL,2018 March 05,REALIZZATO,MORSANO AL TAGLIAMENTO,PN,339961.5,5080720.1
WIND-TRE,2017 October 04,REALIZZATO,AMARO,UD,352004.7,5137210.1
WIND-TRE,,DA REALIZZARE,BUIA,UD,352211.1,5121469.5
ILIAD ITALIA,2019 June 28,DA REALIZZARE,TRIESTE,TS,407441.69,5051654.87
VODAFONE OMNITEL,2014 December 03,REALIZZATO,PORCIA,PN,314559.2,5093259.1
VODAFONE OMNITEL,2014 November 26,REALIZZATO,SPILIMBERGO,PN,337383,5109275.2
VODAFONE OMNITEL,2014 March 26,REALIZZATO,GORIZIA,GO,391138,5085399.3
VODAFONE OMNITEL,2015 July 14,REALIZZATO,CODROIPO,UD,343009.6,5091282.8
TELECOM ITALIA MOBILE,2016 September 14,REALIZZATO,GORIZIA,GO,391753.3,5087256
VODAFONE OMNITEL,2018 March 05,DA REALIZZARE,VILLA SANTINA,UD,340231.6,5142186.8
TELECOM ITALIA MOBILE,2017 October 25,REALIZZATO,POLCENIGO,PN,305495.7,5101094.8
WIND-TRE,2017 May 09,REALIZZATO,CIVIDALE DEL FRIULI,UD,383052.7,5106853.6
TELECOM ITALIA MOBILE,2015 February 19,REALIZZATO,AZZANO DECIMO,PN,322807.6,5083619.4
WIND-TRE,2018 March 01,REALIZZATO,GRADO,GO,376410.9,5059956.7
TELECOM ITALIA MOBILE,2015 February 24,REALIZZATO,CODROIPO,UD,342571.4,5092570.8
TELECOM ITALIA MOBILE,2017 November 07,REALIZZATO,AVIANO,PN,317983.8,5104600.9
VODAFONE OMNITEL,2016 November 08,REALIZZATO,DOBERDO' DEL LAGO,GO,386426.5,5077860.3
VODAFONE OMNITEL,2008 March 31,REALIZZATO,PALMANOVA,UD,370342.6,5084309.8
TELECOM ITALIA MOBILE,2012 June 01,REALIZZATO,AVIANO,PN,313245.1,5104679.9
VODAFONE OMNITEL,2019 February 06,DA REALIZZARE,LIGNANO SABBIADORO,UD,353627.4,5059666.5
VODAFONE OMNITEL,2016 April 22,REALIZZATO,CLAUT,PN,305014,5126421.3
TELECOM ITALIA MOBILE,2014 May 05,REALIZZATO,PRATA DI PORDENONE,PN,310925.4,5082499.7
WIND-TRE,2016 March 30,DA REALIZZARE,PASIANO DI PORDENONE,PN,315599,5081006.2
VODAFONE OMNITEL,2015 September 25,REALIZZATO,GRADO,GO,375296.7,5059560.5
TELECOM ITALIA MOBILE,2013 May 31,REALIZZATO,TRICESIMO,UD,362731.2,5112847.5
TELECOM ITALIA MOBILE,2014 April 10,REALIZZATO,FONTANAFREDDA,PN,309719,5089925.2
TELECOM ITALIA MOBILE,2013 September 17,REALIZZATO,SEDEGLIANO,UD,343041.5,5097832.5
ILIAD ITALIA,2018 November 20,DA REALIZZARE,UDINE,UD,363916.7,5104868.7
VODAFONE OMNITEL,2014 December 09,REALIZZATO,ARTEGNA,UD,357828.4,5122567
WIND-TRE,2018 February 28,REALIZZATO,MONFALCONE,GO,386932.4,5073154.3
